PCA ''Diff.'' Dataset Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows,,,
9.0000,-0.15549631622070895,-0.02010367629078208,-0.03363583042218746,-0.039869668409591635,-0.05130112659531977,0.07386550027868233,-0.021119382067605413,-0.003984849286855219,-0.04446725723575645,-0.0382757364576041,-0.03477442147653509,-0.3181582524893923,-0.2519613118357657,0.06962867234994224,0.2077857744508175,0.3111343344429356,0.18027528210466137,-0.07571704324654527,-0.15786854679950835,-0.13116797755716522,-0.01677989351407383,-0.18391149805362733,-0.3097891265409481,0.36141868322951193,-0.023105713982252918,0.021326887442512734,0.01540213965011353,0.2300266270517438,-0.018366094512504205,-0.4857328151942649,0.007614671218045849,-4.426662624262834e-06,0.0032618648144097373,0.013546657935058964,-0.023988398081475244,-0.02426496378284238,0.10615623163269222,-0.05572809927711596,-0.05193224451545662,#DIV/0!,,
Most important metrics (abs()),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows,,,
,0.0000,1.0000,2.0000,3.0000,4.0000,5.0000,6.0000,7.0000,8.0000,9.0000,10.0000,11.0000,12.0000,13.0000,14.0000,15.0000,16.0000,17.0000,18.0000,19.0000,20.0000,21.0000,22.0000,23.0000,24.0000,25.0000,26.0000,27.0000,28.0000,29.0000,32.0000,33.0000,34.0000,35.0000,36.0000,37.0000,38.0000,39.0000,40.0000,Average,,
0.0000,0.0126,0.0103,0.0167,0.0030,0.0103,0.0028,0.0066,0.0016,0.0027,0.0062,0.0004,0.0269,0.0165,0.0145,0.0080,0.0203,0.0139,0.0081,0.0379,0.0062,0.0086,0.0193,0.0042,0.0124,0.0222,0.0318,0.1262,0.0219,0.0293,0.0188,0.4086,0.3203,0.3223,0.1399,0.1235,0.1239,0.4532,0.4176,0.4156,0.0832,,
1.0000,0.0156,0.0088,0.0046,0.0203,0.0249,0.0065,0.0532,0.0054,0.0129,0.0393,0.0358,0.0035,0.0080,0.0118,0.0506,0.0099,0.0228,0.0224,0.0295,0.0370,0.0102,0.0343,0.0325,0.0209,0.0263,0.0918,0.0487,0.1308,0.9056,0.0597,0.0973,0.0031,0.0075,0.1880,0.1634,0.1693,0.1153,0.0944,0.0956,0.0697,,
2.0000,0.0248,0.0429,0.0352,0.0003,0.0049,0.0052,0.0171,0.0071,0.0205,0.0159,0.0085,0.0661,0.0095,0.0542,0.0451,0.0132,0.0513,0.0211,0.0342,0.0075,0.0325,0.0510,0.0630,0.0078,0.0999,0.3645,0.1580,0.1178,0.1366,0.0735,0.5684,0.2781,0.2850,0.0606,0.0519,0.0538,0.3361,0.2866,0.2859,0.0973,,
3.0000,0.0151,0.0149,0.0030,0.0181,0.0025,0.0354,0.0361,0.0134,0.0446,0.0022,0.0004,0.1152,0.1164,0.0029,0.0553,0.1443,0.1335,0.0584,0.2035,0.0500,0.1032,0.1930,0.1979,0.1938,0.0830,0.4229,0.5028,0.3128,0.2204,0.2222,0.0016,0.0366,0.0390,0.2580,0.1547,0.1611,0.0108,0.0114,0.0136,0.1078,,
4.0000,0.2121,0.0254,0.0290,0.0695,0.0630,0.0104,0.0823,0.0271,0.0477,0.0794,0.0733,0.4275,0.0936,0.3262,0.1931,0.1192,0.2081,0.1315,0.2029,0.1279,0.0675,0.1384,0.3297,0.0310,0.1168,0.3546,0.0937,0.0153,0.0878,0.1501,0.0343,0.1444,0.1335,0.0881,0.1004,0.0938,0.2143,0.1253,0.1245,0.1280,,
5.0000,0.1733,0.0417,0.0247,0.1207,0.1005,0.0398,0.0892,0.0040,0.0191,0.0461,0.0602,0.2387,0.0266,0.1996,0.1137,0.0340,0.0861,0.0048,0.1009,0.0817,0.0294,0.0680,0.2549,0.0367,0.1358,0.5540,0.1054,0.3115,0.1747,0.1275,0.1426,0.0150,0.0178,0.3257,0.1690,0.1772,0.1194,0.1378,0.1385,0.1191,,
6.0000,0.0340,0.0356,0.0515,0.0310,0.0312,0.0406,0.0078,0.0204,0.0175,0.0135,0.0027,0.1012,0.1857,0.0937,0.1380,0.2314,0.1945,0.0975,0.2054,0.0401,0.0253,0.0895,0.4526,0.5190,0.0264,0.1827,0.2374,0.0148,0.2108,0.0070,0.0031,0.0084,0.0121,0.2393,0.2058,0.2020,0.0970,0.0486,0.0511,0.1079,,
7.0000,0.0609,0.0354,0.0296,0.0340,0.0323,0.0281,0.0055,0.0378,0.0247,0.0173,0.0254,0.0140,0.0364,0.0443,0.0981,0.0447,0.0571,0.0399,0.0490,0.0568,0.0275,0.0715,0.1235,0.1781,0.0499,0.1858,0.3408,0.2668,0.0578,0.1437,0.5591,0.2294,0.2178,0.3148,0.2663,0.2675,0.0794,0.0213,0.0204,0.1075,,
8.0000,0.0467,0.0469,0.0627,0.0222,0.0404,0.0054,0.0279,0.0023,0.0392,0.0010,0.0245,0.0068,0.0267,0.0272,0.0456,0.0341,0.0432,0.0483,0.0268,0.0163,0.1235,0.1848,0.0820,0.2192,0.1649,0.2604,0.5718,0.5400,0.0317,0.3067,0.1746,0.0060,0.0059,0.1136,0.1010,0.0936,0.0256,0.0194,0.0210,0.0933,,
9.0000,0.1555,0.0201,0.0336,0.0399,0.0513,0.0739,0.0211,0.0040,0.0445,0.0383,0.0348,0.3182,0.2520,0.0696,0.2078,0.3111,0.1803,0.0757,0.1579,0.1312,0.0168,0.1839,0.3098,0.3614,0.0231,0.0213,0.0154,0.2300,0.0184,0.4857,0.0076,0.0000,0.0033,0.0135,0.0240,0.0243,0.1062,0.0557,0.0519,0.1070,,
Metrics ''Weights'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows,,,
Components,0.0000,1.0000,2.0000,3.0000,4.0000,5.0000,6.0000,7.0000,8.0000,9.0000,10.0000,11.0000,12.0000,13.0000,14.0000,15.0000,16.0000,17.0000,18.0000,19.0000,20.0000,21.0000,22.0000,23.0000,24.0000,25.0000,26.0000,27.0000,28.0000,29.0000,32.0000,33.0000,34.0000,35.0000,36.0000,37.0000,38.0000,39.0000,40.0000,Average,Explained Variance,Accum. Variance
1.0000,0.0051,0.0041,0.0067,0.0012,0.0041,0.0011,0.0026,0.0006,0.0011,0.0025,0.0002,0.0108,0.0066,0.0058,0.0032,0.0082,0.0056,0.0033,0.0152,0.0025,0.0035,0.0078,0.0017,0.0050,0.0089,0.0128,0.0508,0.0088,0.0118,0.0076,0.1645,0.1290,0.1298,0.0564,0.0497,0.0499,0.1825,0.1681,0.1674,0.0335,0.4027,0.4027
2.0000,0.0030,0.0017,0.0009,0.0039,0.0048,0.0013,0.0102,0.0010,0.0025,0.0075,0.0069,0.0007,0.0015,0.0023,0.0097,0.0019,0.0044,0.0043,0.0057,0.0071,0.0020,0.0066,0.0062,0.0040,0.0051,0.0176,0.0094,0.0251,0.1739,0.0115,0.0187,0.0006,0.0014,0.0361,0.0314,0.0325,0.0221,0.0181,0.0184,0.0134,0.1920,0.5947
3.0000,0.0031,0.0053,0.0043,0.0000,0.0006,0.0006,0.0021,0.0009,0.0025,0.0020,0.0010,0.0082,0.0012,0.0067,0.0056,0.0016,0.0063,0.0026,0.0042,0.0009,0.0040,0.0063,0.0078,0.0010,0.0123,0.0449,0.0195,0.0145,0.0168,0.0091,0.0701,0.0343,0.0351,0.0075,0.0064,0.0066,0.0414,0.0353,0.0353,0.0120,0.1233,0.7180
4.0000,0.0011,0.0011,0.0002,0.0014,0.0002,0.0027,0.0027,0.0010,0.0033,0.0002,0.0000,0.0086,0.0087,0.0002,0.0041,0.0108,0.0100,0.0044,0.0153,0.0038,0.0077,0.0145,0.0148,0.0145,0.0062,0.0317,0.0377,0.0234,0.0165,0.0167,0.0001,0.0027,0.0029,0.0193,0.0116,0.0121,0.0008,0.0009,0.0010,0.0081,0.0750,0.7930
5.0000,0.0097,0.0012,0.0013,0.0032,0.0029,0.0005,0.0038,0.0012,0.0022,0.0036,0.0034,0.0196,0.0043,0.0150,0.0089,0.0055,0.0096,0.0060,0.0093,0.0059,0.0031,0.0064,0.0151,0.0014,0.0054,0.0163,0.0043,0.0007,0.0040,0.0069,0.0016,0.0066,0.0061,0.0040,0.0046,0.0043,0.0098,0.0058,0.0057,0.0059,0.0459,0.8389
6.0000,0.0068,0.0016,0.0010,0.0047,0.0039,0.0016,0.0035,0.0002,0.0007,0.0018,0.0024,0.0093,0.0010,0.0078,0.0044,0.0013,0.0034,0.0002,0.0039,0.0032,0.0011,0.0027,0.0100,0.0014,0.0053,0.0217,0.0041,0.0122,0.0068,0.0050,0.0056,0.0006,0.0007,0.0127,0.0066,0.0069,0.0047,0.0054,0.0054,0.0047,0.0391,0.8780
7.0000,0.0011,0.0011,0.0016,0.0010,0.0010,0.0013,0.0002,0.0006,0.0006,0.0004,0.0001,0.0032,0.0059,0.0030,0.0043,0.0073,0.0061,0.0031,0.0065,0.0013,0.0008,0.0028,0.0143,0.0164,0.0008,0.0058,0.0075,0.0005,0.0066,0.0002,0.0001,0.0003,0.0004,0.0075,0.0065,0.0064,0.0031,0.0015,0.0016,0.0034,0.0315,0.9095
8.0000,0.0011,0.0007,0.0006,0.0006,0.0006,0.0005,0.0001,0.0007,0.0005,0.0003,0.0005,0.0003,0.0007,0.0008,0.0018,0.0008,0.0011,0.0007,0.0009,0.0011,0.0005,0.0013,0.0023,0.0033,0.0009,0.0035,0.0064,0.0050,0.0011,0.0027,0.0104,0.0043,0.0041,0.0059,0.0050,0.0050,0.0015,0.0004,0.0004,0.0020,0.0187,0.9282
9.0000,0.0008,0.0008,0.0010,0.0004,0.0007,0.0001,0.0005,0.0000,0.0006,0.0000,0.0004,0.0001,0.0004,0.0004,0.0007,0.0006,0.0007,0.0008,0.0004,0.0003,0.0020,0.0030,0.0013,0.0036,0.0027,0.0043,0.0094,0.0089,0.0005,0.0050,0.0029,0.0001,0.0001,0.0019,0.0017,0.0015,0.0004,0.0003,0.0003,0.0015,0.0164,0.9446
10.0000,0.0021,0.0003,0.0005,0.0005,0.0007,0.0010,0.0003,0.0001,0.0006,0.0005,0.0005,0.0043,0.0034,0.0009,0.0028,0.0042,0.0024,0.0010,0.0021,0.0018,0.0002,0.0025,0.0041,0.0048,0.0003,0.0003,0.0002,0.0031,0.0002,0.0065,0.0001,0.0000,0.0000,0.0002,0.0003,0.0003,0.0014,0.0007,0.0007,0.0014,0.0134,0.9580
